jour,mois,lum,agg,int,atm,col,catr,circ,vosp,prof,plan,surf,infra,situ,vma,place,sexe,an_nais,trajet,locp,senc,catv,obs,obsm,manv,nb_v,nb_u,hr,has_ceinture,has_gants,has_casque,has_airbag,has_gilet,has_de,choc_avant,choc_arriere,choc_gauche,choc_droit,target
29,6,jour,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,feminin,1963,autre,sans,decroissant,vl,aucun,pieton,1,1,2,15,1,0,0,0,0,0,1,0,0,1,0
25,9,jour,oui,aucun,pluvieuses,deux_vl,route_urbaine,complexe,sans,plat,courbe,humide,aucun,normale,50,passager_avant,feminin,1970,personnelle,sans,croissant,vl,structurel,vehicule,1,2,6,15,1,0,0,0,0,0,0,1,1,0,0
19,5,jour,non,simple,pluvieuses,deux_vl,route_secondaire,simple,sans,plat,rectiligne,humide,aucun,normale,80,conducteur,feminin,1968,domicile,sans,croissant,vl,aucun,vehicule,19,2,2,8,1,0,0,0,0,0,0,0,1,0,1
28,4,jour,oui,simple,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,feminin,1997,personnelle,sans,croissant,vl,aucun,vehicule,1,2,3,20,1,0,0,0,0,0,1,0,0,0,0
3,4,jour,oui,aucun,pluvieuses,deux_vl,route_secondaire,complexe,avec,plat,rectiligne,humide,aucun,particuliere,50,conducteur,masculin,1968,personnelle,sans,decroissant,cycle_edp,aucun,aucun,1,2,2,16,0,0,0,0,0,0,1,0,0,0,1
7,1,jour,oui,aucun,normale,sans_collision,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,1937,personnelle,sans,inconnu,vl,aucun,pieton,1,1,2,15,1,0,0,0,0,0,1,0,0,1,0
28,8,crepuscule_aube,non,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,zones,normale,50,conducteur,masculin,2004,autre,sans,inconnu,2rm,structurel,aucun,1,1,1,20,0,1,1,0,0,0,1,0,0,0,1
20,2,jour,non,aucun,normale,autres,route_principale,simple,sans,plat,rectiligne,normale,aucun,normale,80,passager_avant,masculin,1989,personnelle,sans,croissant,vl,structurel,aucun,1,3,7,10,0,0,0,0,0,0,1,0,0,1,0
4,9,jour,oui,complexe,normale,deux_vl,route_secondaire,complexe,sans,plat,rectiligne,normale,aucun,normale,50,passager_avant,feminin,1941,personnelle,sans,croissant,vl,aucun,vehicule,2,2,3,11,1,0,0,0,0,0,1,0,0,0,0
1,10,jour,non,aucun,difficiles,deux_vl,route_secondaire,simple,sans,incline,courbe,normale,aucun,normale,80,conducteur,feminin,1982,domicile,sans,inconnu,vl,aucun,vehicule,1,2,3,13,1,0,0,0,0,0,1,0,0,0,0
